"","PERMNO","error","Fstat","df","pvalue","sig90","sig95","sig99"
"1",10001,0.330253541763843,0.782187958947162,5,0.583032204650797,0,0,0
"2",10002,0.684638804584898,1.00197795126081,2,0.57773055004003,0,0,0
"3",10025,0.678264654766914,0.199254723945968,6,0.329018562072973,0,0,0
"4",10026,0.0769547398407588,8.46720723203171,6,0.973014190538381,1,1,0
"5",10028,1.192713658678,0.949162693452854,6,0.632442096630502,0,0,0
"6",10032,0.429819467023798,0.152941899917132,6,0.290750601118885,0,0,0
"7",10042,NA,NA,0,NA,NA,NA,NA
"8",10044,0.386062972046079,0.180517887817412,6,0.314256775781862,0,0,0
"9",10051,0.334798637070341,1.41859595605405,5,0.71291228799359,0,0,0
"10",10066,NA,NA,NA,NA,NA,NA,NA
"11",10078,NA,NA,0,NA,NA,NA,NA
"12",10092,NA,NA,0,NA,NA,NA,NA
"13",10100,0.688227836189604,3.77692034107147,2,0.808575770180533,0,0,0
"14",10104,0.268706541594695,0.203072702592322,6,0.331921469912672,0,0,0
"15",10107,0.300630468980162,0.787282077501166,6,0.590921859040132,0,0,0
"16",10116,0.216064793140959,2.5219206981285,6,0.836627207635029,0,0,0
"17",10119,NA,NA,NA,NA,NA,NA,NA
"18",10137,NA,NA,0,NA,NA,NA,NA
"19",10138,0.274890402567146,1.13567201587221,6,0.672437957306025,0,0,0
"20",10143,NA,NA,0,NA,NA,NA,NA
"21",10145,0.210480587564884,2.13315677968792,6,0.805556584606486,0,0,0
"22",10147,0.324812979333638,0.739964089909688,5,0.571019174010541,0,0,0
"23",10158,0.267179356364059,1.47070474273164,1,0.561015574493597,0,0,0
"24",10163,0.94746288264773,0.334620324888697,1,0.333864731035961,0,0,0
"25",10180,0.886383940967892,0.666144762056385,6,0.554415195802708,0,0,0
"26",10182,0.631716688461341,0.223334074973629,6,0.346788960815572,0,0,0
"27",10200,0.684151487838044,0.125713939498498,6,0.264953021632773,0,0,0
"28",10201,0.304510145655813,0.921485710629328,1,0.486989841151691,0,0,0
"29",10205,NA,NA,0,NA,NA,NA,NA
"30",10220,0.3804032952857,0.256879777221364,1,0.298637777223378,0,0,0
"31",10223,NA,NA,0,NA,NA,NA,NA
"32",10225,0.198319621866376,2.07129423559007,3,0.754303953625116,0,0,0
"33",10232,0.164712394775722,2.96860625299353,2,0.772963538290255,0,0,0
"34",10238,NA,NA,0,NA,NA,NA,NA
"35",10239,0.176731963824819,1.1017835816366,6,0.665696807032526,0,0,0
"36",10252,0.226444908794878,1.14235614320094,6,0.673742542442623,0,0,0
"37",10253,0.663039713687248,2.16357037888768,6,0.808277422052921,0,0,0
"38",10257,0.887910843584486,1.48532307034053,6,0.731317504376868,0,0,0
"39",10258,1.04399591086258,1.10117618296079,5,0.657941152317109,0,0,0
"40",10259,0.662009137984031,0.142468718224161,6,0.28117013335669,0,0,0
"41",10271,NA,NA,0,NA,NA,NA,NA
"42",10272,0.12350023999875,1.32571486699369,1,0.544726123424587,0,0,0
"43",10290,0.347318639693795,0.346789275162235,1,0.338814752902541,0,0,0
"44",10294,0.303513518418754,2.51022756394277,6,0.835798965228274,0,0,0
"45",10297,0.327232922728915,0.684041571773663,6,0.560155490915411,0,0,0
"46",10299,0.177383149684465,2.99652793644345,6,0.86583961380028,0,0,0
"47",10302,0.59687200094515,0.997514779324246,6,0.643527068417714,0,0,0
"48",10304,NA,NA,0,NA,NA,NA,NA
"49",10308,0.350780939540214,0.302729876501088,6,0.39795819578003,0,0,0
"50",10318,0.260130088194323,0.62454637920474,6,0.540551246683259,0,0,0
"51",10324,NA,NA,0,NA,NA,NA,NA
"52",10333,2.85258393399552,0.297156272962058,6,0.394674450635585,0,0,0
"53",10353,NA,NA,0,NA,NA,NA,NA
"54",10355,0.473398310402506,0.450532084939819,6,0.472936297173149,0,0,0
"55",10363,0.460389532107089,0.817222562941404,6,0.599168529208083,0,0,0
"56",10371,NA,NA,0,NA,NA,NA,NA
"57",10375,0.191037792958154,2.51308418384307,6,0.836001849458762,0,0,0
"58",10382,0.267937738380669,0.347992236877775,6,0.423223333302467,0,0,0
"59",10383,NA,NA,0,NA,NA,NA,NA
"60",10395,0.195728172738732,1.00674179487587,6,0.645581642531512,0,0,0
"61",10397,0.0927936272545805,8.16511055779778,6,0.971102532625383,1,1,0
"62",10404,NA,NA,0,NA,NA,NA,NA
"63",10421,0.228901076192258,4.6900909551668,6,0.926499525117067,1,0,0
"64",10443,0.274080158974011,0.383575718966906,6,0.441535992318978,0,0,0
"65",10463,0.452651269860731,2.22984817319348,6,0.814021427775462,0,0,0
"66",10501,0.584189520629791,0.519212770202139,6,0.50172292507196,0,0,0
"67",10507,1.1247323039559,0.453932295582264,3,0.451262009592051,0,0,0
"68",10514,0.288487599737744,2.98788439496621,6,0.865375537222969,0,0,0
"69",10516,0.31812309215567,0.717085850675231,6,0.570422871528527,0,0,0
"70",10517,0.258289114200779,0.830295821368828,6,0.602682775569147,0,0,0
"71",10530,0.336711386604387,1.11344882917821,6,0.668041542284189,0,0,0
"72",10547,1.13627992184229,1.1865009681495,5,0.674271334032257,0,0,0
"73",10550,0.490551389117907,0.218091641012301,6,0.343025280194364,0,0,0
"74",10560,NA,NA,NA,NA,NA,NA,NA
"75",10562,NA,NA,0,NA,NA,NA,NA
"76",10563,NA,NA,0,NA,NA,NA,NA
"77",10568,NA,NA,0,NA,NA,NA,NA
"78",10574,NA,NA,0,NA,NA,NA,NA
"79",10586,NA,NA,0,NA,NA,NA,NA
"80",10597,NA,NA,0,NA,NA,NA,NA
"81",10606,0.259872527851183,0.594826804984624,6,0.530168000422253,0,0,0
"82",10623,NA,NA,NA,NA,NA,NA,NA
"83",10629,0.153200452121955,5.50750966071005,6,0.94269207536097,1,0,0
"84",10638,NA,NA,0,NA,NA,NA,NA
"85",10644,0.533996869316019,0.0851937626192102,2,0.202129960511913,0,0,0
"86",10645,0.264019510995441,2.63995738634407,6,0.844668085816122,0,0,0
"87",10649,0.430512851623506,3.80458101427491,6,0.901014277944084,1,0,0
"88",10656,0.448052923175832,3.03598209537303,6,0.867929889345636,0,0,0
"89",10657,NA,NA,NA,NA,NA,NA,NA
"90",10659,0.267867747581362,2.31327398911956,4,0.79708323559763,0,0,0
"91",10661,0.895144700624386,0.958838274973754,6,0.634704182776032,0,0,0
"92",10667,0.507712310128479,1.17567715645297,5,0.67227013424672,0,0,0
"93",10682,NA,NA,NA,NA,NA,NA,NA
"94",10693,0.300952800849461,1.55925523870642,6,0.741713703728438,0,0,0
"95",10696,0.269649738455785,0.174784076833675,6,0.309555463650203,0,0,0
"96",10709,NA,NA,0,NA,NA,NA,NA
"97",10769,1.03686055009383,0.256618781722343,1,0.298507316463772,0,0,0
"98",10772,NA,NA,0,NA,NA,NA,NA
"99",10777,0.153600715935968,2.30305153791601,6,0.820084894726326,0,0,0
"100",10779,1.34514078416821,0.210756228937659,6,0.337663257050446,0,0,0
"101",10781,0.215532669010494,1.35433815943259,6,0.711297844847012,0,0,0
"102",10785,NA,NA,0,NA,NA,NA,NA
"103",10812,0.258085582129476,0.560681767834764,6,0.517703243899293,0,0,0
"104",10822,NA,NA,0,NA,NA,NA,NA
"105",10825,NA,NA,0,NA,NA,NA,NA
"106",10838,1.2852383234608,0.802323547095943,6,0.595099927082257,0,0,0
"107",10843,NA,NA,NA,NA,NA,NA,NA
"108",10853,0.513921623713208,1.1717979200748,5,0.671548095545856,0,0,0
"109",10860,0.509208970818648,0.914050784579879,6,0.624040087656065,0,0,0
"110",10866,0.318244037479278,4.17059656972629,6,0.912822038403233,1,0,0
"111",10874,0.68032258253454,1.30599917849447,6,0.703337795276753,0,0,0
"112",10881,NA,NA,NA,NA,NA,NA,NA
"113",10886,1.01545399049582,1.1084892028839,6,0.667047802076798,0,0,0
"114",10890,1.29535563228231,0.715351165464727,6,0.569894199647712,0,0,0
"115",10892,0.553579706993348,0.017653913494247,6,0.101358154291705,0,0,0
"116",10901,0.249974683416761,2.43843447936326,6,0.83058152830649,0,0,0
"117",10909,0.449343715068411,0.380810883416989,6,0.44015700929101,0,0,0
"118",10913,0.318367722887465,9.00935431727601,6,0.976040043535627,1,1,0
"119",10916,NA,NA,NA,NA,NA,NA,NA
"120",10924,NA,NA,0,NA,NA,NA,NA
"121",10932,0.250397184560945,3.88377105806098,6,0.903747034068352,1,0,0
"122",10933,0.226038403806799,0.375870686016759,6,0.437675283131714,0,0,0
"123",10942,NA,NA,0,NA,NA,NA,NA
"124",10952,0.148442597176581,3.01634619089915,6,0.866895292339399,0,0,0
"125",10966,NA,NA,0,NA,NA,NA,NA
"126",10974,NA,NA,0,NA,NA,NA,NA
"127",10994,NA,NA,0,NA,NA,NA,NA
"128",11003,0.139429197708953,10.8084098259353,1,0.812019026810826,0,0,0
"129",11006,0.268309781937231,0.0887934027180021,6,0.224234153218229,0,0,0
"130",11018,0.636826864455616,0.565230707358298,6,0.519398561111919,0,0,0
"131",11038,0.48590975365925,1.22850805532581,1,0.532696511952053,0,0,0
"132",11043,0.474578705960048,1.6677762640797,6,0.755926646088483,0,0,0
"133",11048,NA,NA,0,NA,NA,NA,NA
"134",11056,0.564377790410937,0.734021818496476,3,0.545433009655994,0,0,0
"135",11077,0.981756312852082,0.0546310980077198,4,0.173332751609915,0,0,0
